analysis_date,time_sec,X_vibration,Y_vibration,Z_vibration
2018-07-26 15:11:00,1.74046,0.086227,-0.0277341,-0.702983
2018-07-26 15:11:00,1.75052,0.12626,-0.0845502,-0.9107
2018-07-26 15:11:00,1.76058,0.183109,-0.156392,-1.14602
2018-07-26 15:11:00,1.77064,0.231348,-0.195983,-1.14686
2018-07-26 15:11:00,1.7807,0.204704,-0.210818,-0.994715
2018-07-26 15:11:00,1.79076,0.100951,-0.191488,-0.67923
2018-07-26 15:11:00,1.80082,-0.0752546,-0.0736691,-0.258129
2018-07-26 15:11:00,1.81088,-0.184885,0.0329335,0.151015
2018-07-26 15:11:00,1.82094,-0.228376,0.0702404,0.54004
2018-07-26 15:11:00,1.831,-0.208865,0.0748961,0.833783
2018-07-26 15:11:00,1.84106,-0.149995,0.0983643,1.03688
2018-07-26 15:11:00,1.85113,-0.0588113,0.0947028,1.16572
2018-07-26 15:11:00,1.86119,-0.0308004,0.0721455,1.23552
2018-07-26 15:11:00,1.87125,-0.0641952,0.123928,1.12482
2018-07-26 15:11:00,1.88131,-0.07284,0.150858,0.784
2018-07-26 15:11:00,1.89137,-0.00799244,0.092208,0.379729
2018-07-26 15:11:00,1.90143,0.0304997,0.0362885,0.0572738
2018-07-26 15:11:00,1.91149,-0.00513581,0.0380421,-0.230235
2018-07-26 15:11:00,1.92155,0.0453293,0.0226741,-0.522513
2018-07-26 15:11:00,1.93161,0.16571,-0.0504979,-0.72465
2018-07-26 15:11:00,1.94167,0.196628,-0.134625,-0.911332
2018-07-26 15:11:00,1.95173,0.129251,-0.137676,-0.990625
2018-07-26 15:11:00,1.96179,0.107986,-0.11936,-0.835501
2018-07-26 15:11:00,1.97185,0.0854135,-0.159893,-0.651498
2018-07-26 15:11:00,1.98191,0.0217537,-0.149163,-0.535433
2018-07-26 15:11:00,1.99197,0.0134014,-0.125801,-0.26365
2018-07-26 15:12:00,2.00203,-0.00096326,-0.0849024,0.0664977
2018-07-26 15:12:00,2.01209,-0.116029,-0.0173732,0.342828
2018-07-26 15:12:00,2.02215,-0.201285,0.0384437,0.585142
2018-07-26 15:12:00,2.03221,-0.15226,0.0650061,0.788272
2018-07-26 15:12:00,2.04227,-0.110942,0.0607871,1.02446
2018-07-26 15:12:00,2.05233,-0.1062,0.128113,1.18178
2018-07-26 15:12:00,2.06239,-0.12247,0.257241,1.16741
2018-07-26 15:12:00,2.07246,-0.0796995,0.192884,0.934357
2018-07-26 15:12:00,2.08252,-0.0130652,0.0694172,0.5632
2018-07-26 15:12:00,2.09258,0.0482371,0.0566921,0.262821
2018-07-26 15:12:00,2.10264,0.0281708,0.0462449,-0.017323
